;Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas, ESP, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;Janeiro ;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;;Total;;
;;;;;;;Notificados ;Confirmados;;Notificados;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;;autóctones;importados;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;14;2;0;10;4;0;67;30;0;121;81;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;220;121;0
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;107;23;0;90;22;2;355;76;1;615;210;3;424;145;1;185;31;0;108;11;1;113;6;0;144;8;1;141;15;0;154;7;0;107;10;0;2543;564;9
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;41;1;2;85;24;0;197;106;0;233;122;0;193;62;0;59;17;0;35;6;0;32;4;0;38;0;0;61;1;0;66;0;0;26;3;0;1066;346;2
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;20;0;0;6;1;0;15;1;0;11;1;0;7;0;0;5;0;0;4;1;0;5;1;0;5;0;0;4;0;0;7;0;0;6;0;0;95;5;0
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;13;8;0;38;12;0;267;107;1;561;215;0;382;153;0;146;23;0;41;9;0;13;6;2;18;3;0;5;3;0;10;3;0;3;1;0;1497;543;3
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;350200 Analândia;6;1;0;6;2;0;6;0;1;6;1;1;6;0;0;7;0;0;2;0;0;3;0;0;5;1;0;4;0;0;0;0;0;4;2;0;55;7;2
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;350210 Andradina;165;49;0;370;133;0;1.255;1.061;3;1.121;1.111;3;597;592;1;146;144;0;57;21;0;50;3;0;53;1;0;71;4;0;53;1;0;42;1;0;3980;3121;7
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350220 Angatuba;1;0;0;3;0;0;6;1;1;13;1;5;10;4;2;0;0;0;3;1;0;0;0;0;0;0;0;2;0;0;2;0;0;1;0;0;41;7;8
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;2;0;0;3;1;0;34;16;0;149;70;0;92;29;0;10;3;0;3;0;0;4;0;1;2;0;0;1;0;0;2;0;0;4;0;0;306;119;1
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;16;7;0;66;35;0;172;79;0;185;62;0;83;18;0;8;1;0;4;2;0;3;0;0;2;0;0;3;0;0;2;0;0;3;0;0;547;204;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350250 Aparecida;20;7;1;112;52;2;304;94;19;271;62;11;117;34;4;27;7;0;7;1;0;6;0;0;13;0;0;11;0;0;10;1;0;12;2;1;910;260;38
15;São José do Rio Preto;XXX;JALES;35153;JALES;350260 Aparecida d'Oeste;2;1;0;10;4;0;17;10;1;37;10;0;6;0;0;1;0;0;4;0;0;2;0;0;1;0;0;0;0;0;3;1;0;3;0;0;86;26;1
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350270 Apiaí;1;0;0;1;0;0;3;0;0;6;0;0;5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;20;1;0
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350275 Araçariguama;4;1;0;21;4;9;42;29;0;76;51;0;56;28;0;5;2;0;5;0;0;1;0;0;3;0;0;2;0;0;1;0;0;1;0;0;217;115;9
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350280 Araçatuba;792;62;0;1.026;81;0;1.921;188;1;2.011;301;1;1370;184;2;661;63;2;552;24;0;625;12;0;562;14;0;599;25;0;461;15;1;388;20;0;10968;989;7
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350290 Araçoiaba da Serra;10;0;0;13;0;0;61;6;1;100;18;0;102;25;0;39;8;0;19;2;0;12;1;0;19;0;0;16;0;0;17;1;0;10;0;0;418;61;1
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350300 Aramina;1;0;0;4;3;0;3;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350310 Arandu;1;0;0;3;0;0;13;1;0;88;30;0;57;39;0;15;10;0;1;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;0;0;182;81;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350315 Arapeí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350320 Araraquara;326;13;2;579;38;5;897;124;9;902;224;9;826;188;3;392;44;0;224;20;0;269;21;0;273;23;0;343;26;0;361;33;0;214;14;1;5606;768;29
10;Piracicaba;XX;PIRACICABA;35101;ARARAS;350330 Araras;73;6;1;111;6;1;212;16;3;100;6;3;107;5;0;19;2;0;24;2;2;14;0;0;39;1;1;31;0;0;29;0;1;22;2;2;781;46;14
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350335 Arco-Íris;84;79;0;65;60;2;42;37;0;33;28;0;3;2;0;1;1;0;1;0;0;0;0;0;1;0;1;4;2;1;0;0;0;0;0;0;234;209;4
6;Bauru;XV;BAURU;35062;BAURU;350340 Arealva;1;1;0;8;3;2;74;44;8;261;154;2;263;101;1;73;33;1;1;1;0;7;5;0;4;1;0;8;5;0;27;16;0;13;3;0;740;367;14
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;0;0;0;0;0;0;13;4;1;5;0;0;1;0;0;1;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;1;0;0;26;4;1
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;2;1;0;7;1;0;14;5;1;24;12;0;23;8;0;5;1;0;10;5;0;3;1;0;0;0;0;0;0;0;3;0;0;0;0;0;91;34;1
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;8;1;0;18;5;0;44;2;0;28;7;0;35;19;0;31;11;0;11;3;0;7;0;0;1;0;0;13;0;0;8;3;0;26;13;0;230;64;0
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;12;0;0;19;0;1;60;10;1;67;7;3;48;16;0;16;1;0;15;3;0;25;5;0;11;0;0;17;0;0;11;1;0;12;4;0;313;47;5
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;9;0;0;10;4;0;40;13;0;65;42;1;34;20;0;16;8;0;6;1;0;3;1;0;12;0;0;14;2;0;15;0;0;14;2;0;238;93;1
15;São José do Rio Preto;XXX;JALES;35153;JALES;350395 Aspásia;2;1;0;10;1;1;29;11;2;7;4;3;3;1;1;2;1;0;2;1;0;1;0;0;3;0;0;2;0;0;1;0;0;1;0;0;63;20;7
9;Marília;XIII;ASSIS;35092;ASSIS;350400 Assis;140;32;1;200;126;0;731;506;5;1.574;1.517;8;1295;1059;7;183;47;3;104;51;0;56;36;0;54;26;0;55;34;0;40;31;0;59;52;0;4491;3517;24
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;65;27;1;69;35;0;111;70;0;173;124;0;142;87;1;67;46;0;31;20;0;38;23;0;85;54;1;106;73;0;88;52;2;77;41;0;1052;652;5
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;2;0;0;6;1;0;51;7;1;19;5;0;4;1;0;2;0;0;2;1;0;9;1;0;1;0;0;2;0;0;0;0;0;1;0;0;99;16;1
6;Bauru;XV;BAURU;35062;BAURU;350430 Avaí;4;3;0;4;1;0;11;5;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;30;14;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;3;2;0;0;0;0;2;1;0;32;25;0;11;11;0;3;2;0;3;3;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;58;47;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;8;0;0;15;3;0;130;53;3;247;95;24;260;130;1;56;23;0;14;4;0;8;0;0;5;0;0;10;0;0;9;0;0;8;2;0;770;310;28
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;108;10;0;125;17;3;213;35;2;226;52;2;155;68;0;52;19;0;44;11;0;27;3;0;35;4;0;55;5;1;98;4;0;63;3;0;1201;231;8
6;Bauru;XV;BAURU;35062;BAURU;350470 Balbinos;0;0;0;10;3;2;127;84;1;99;62;0;9;8;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;247;157;5
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;13;0;0;14;1;0;27;1;0;10;2;0;11;3;0;4;3;0;12;3;0;11;1;0;5;1;0;13;2;0;21;0;0;14;0;0;155;17;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;4;2;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;0;0;0;9;7;0;30;29;0;195;171;7;80;73;1;10;8;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;326;290;9
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;26;7;0;78;24;0;97;29;0;77;21;0;21;6;0;12;0;0;2;0;0;2;0;0;7;0;0;6;0;0;9;0;0;1;0;0;338;87;0
6;Bauru;XV;BAURU;35064;JAU;350520 Bariri;3;0;0;5;0;1;8;2;0;39;29;7;91;61;1;34;29;0;7;5;0;8;6;0;10;4;0;4;1;1;74;66;2;61;44;2;344;247;14
6;Bauru;XV;BAURU;35064;JAU;350530 Barra Bonita;13;0;1;25;3;2;120;35;7;139;60;10;122;35;12;18;3;1;3;3;0;6;2;0;9;1;0;8;0;0;11;0;1;24;0;2;498;142;36
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;0;0;0;0;0;0;0;0;0;1;0;0;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;16;0;1
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;238;6;0;555;31;1;1.315;90;0;2.182;169;6;1616;364;3;465;93;2;251;28;0;236;20;0;174;12;1;187;3;0;171;9;0;174;8;1;7564;833;14
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;30;1;0;61;7;0;184;41;3;215;82;0;160;57;0;65;25;6;15;6;0;23;3;0;25;11;0;26;11;0;14;1;0;26;0;0;844;245;9
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;53;3;3;69;5;1;178;29;1;241;46;6;152;37;2;73;8;1;24;3;0;25;2;0;29;4;2;38;3;2;21;3;0;26;4;0;929;147;18
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350580 Bastos;89;52;0;453;344;0;831;601;0;819;549;0;292;129;0;55;11;0;10;0;0;11;2;0;9;2;0;11;1;0;14;0;0;3;0;0;2597;1691;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;26;12;0;109;52;0;311;112;0;843;287;0;961;234;0;327;52;0;156;16;0;132;2;0;113;2;0;39;1;0;75;1;0;16;2;0;3108;773;0
6;Bauru;XV;BAURU;35062;BAURU;350600 Bauru;367;153;0;1.155;571;1;6.934;4.288;5;7.339;5.295;8;4266;3027;5;835;561;1;254;157;0;207;124;0;172;68;0;235;19;0;345;24;1;355;62;0;22464;14349;21
5;Barretos;XIV;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;8;1;0;55;5;1;227;42;2;377;113;0;284;98;0;102;24;0;49;11;0;38;4;0;26;3;0;37;7;0;31;5;0;70;26;0;1304;339;3
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;0;0;0;1;1;0;9;4;1;18;14;1;10;7;0;5;5;0;0;0;0;2;2;0;3;1;0;0;0;0;0;0;0;1;0;0;49;34;2
9;Marília;XIII;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;8;0;0;7;0;0;37;7;1;72;15;0;83;15;0;25;1;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;38;1
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;141;6;0;320;53;1;566;140;0;814;295;1;780;282;1;471;142;0;259;62;0;178;35;0;202;34;0;271;51;0;322;88;1;488;179;0;4812;1367;4
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350640 Bilac;19;1;0;31;1;0;13;1;0;8;3;0;2;0;0;3;1;0;2;0;0;0;0;0;2;1;0;0;0;0;1;0;0;1;1;0;82;9;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;173;43;1;396;89;3;851;382;13;831;425;10;464;231;6;166;85;2;113;59;1;202;76;1;197;99;0;182;93;6;184;82;3;133;62;4;3892;1726;50
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba-Mirim;20;0;0;22;1;0;39;0;0;25;3;1;31;2;0;19;1;0;5;0;0;4;0;0;12;0;0;12;0;1;10;0;0;6;0;0;205;7;2
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;232;135;0;696;429;0;1.184;670;0;577;335;1;279;131;0;87;28;0;10;1;0;18;2;0;23;6;0;15;0;0;14;1;0;22;2;0;3157;1740;1
6;Bauru;XV;BAURU;35064;JAU;350680 Bocaina;1;0;0;2;0;0;11;6;0;10;3;0;4;2;1;0;0;0;1;0;0;1;0;0;2;0;0;2;0;0;1;1;0;2;0;0;37;12;1
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350690 Bofete;0;0;0;5;0;0;26;1;0;57;1;3;52;1;0;7;0;0;4;0;0;3;0;0;7;0;0;5;0;1;5;0;0;9;0;1;180;3;5
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350700 Boituva;26;2;2;49;6;2;132;24;0;163;54;1;135;34;0;42;7;0;10;3;0;9;1;0;23;0;0;32;5;0;32;0;0;29;6;1;682;142;6
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350710 Bom Jesus dos Perdões;8;1;0;1;0;0;4;1;0;12;1;0;9;1;0;2;0;0;1;0;0;3;0;0;5;0;0;7;0;0;7;1;0;3;0;0;62;5;0
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350715 Bom Sucesso de Itararé;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0
9;Marília;XIII;ASSIS;35092;ASSIS;350720 Borá;1;0;0;2;0;0;3;0;0;16;10;0;27;11;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;21;0
6;Bauru;XV;BAURU;35064;JAU;350730 Boracéia;2;0;0;3;3;0;13;9;0;12;12;0;28;26;2;7;6;1;6;6;0;2;1;1;0;0;0;1;1;0;17;12;0;75;69;1;166;145;5
3;Araraquara;XII;ARARAQUARA;35032;CENTRO OESTE DO DRS III;350740 Borborema;26;13;0;108;76;0;395;276;3;382;255;1;164;84;0;22;4;0;5;4;0;7;3;0;0;0;0;6;3;0;5;5;0;20;20;0;1140;743;4
6;Bauru;XV;BAURU;35062;BAURU;350745 Borebi;3;0;2;8;1;1;23;13;2;44;13;8;44;13;7;10;2;0;1;0;1;3;0;0;2;0;0;2;1;0;7;2;1;5;0;0;152;45;22
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350750 Botucatu;57;4;3;94;9;8;276;19;8;301;49;11;250;33;13;86;14;7;34;9;4;47;13;0;61;15;2;119;25;0;109;48;1;247;130;1;1681;368;58
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350760 Bragança Paulista;31;2;1;36;5;0;76;24;1;90;40;0;66;37;2;25;6;2;21;8;1;25;5;1;15;4;2;38;9;0;21;3;0;53;25;3;497;168;13
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350770 Braúna;1;1;0;5;2;1;38;31;5;112;102;1;26;24;0;4;4;0;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;191;165;7
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350775 Brejo Alegre;2;1;1;9;7;0;21;14;1;15;5;0;7;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;57;28;2
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350780 Brodósqui;15;1;0;24;4;0;48;8;0;104;36;0;119;50;0;32;18;0;12;5;0;19;13;0;27;11;0;35;20;0;180;143;3;482;464;3;1097;773;6
6;Bauru;XV;BAURU;35064;JAU;350790 Brotas;8;0;0;5;0;0;34;4;0;49;12;0;67;12;0;24;2;0;9;0;0;6;0;0;13;0;0;2;0;0;1;0;0;5;0;0;223;30;0
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350800 Buri;10;3;0;58;9;0;50;6;0;40;3;2;33;3;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;199;25;3
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350810 Buritama;13;0;0;25;3;0;35;2;0;26;2;0;23;1;0;7;1;1;2;1;0;8;0;0;8;0;0;6;0;0;6;0;0;4;1;0;163;11;1
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350820 Buritizal;5;0;1;18;11;0;59;38;0;46;32;0;43;29;0;7;6;0;0;0;0;2;1;0;2;0;0;0;0;0;1;0;0;1;0;0;184;117;1
6;Bauru;XV;BAURU;35062;BAURU;350830 Cabrália Paulista;1;0;0;1;0;0;8;2;0;17;4;0;15;2;0;3;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;2;0;0;51;8;0
7;Campinas;XVII;CAMPINAS;35073;JUNDIAÍ;350840 Cabreúva;14;1;0;31;1;0;57;11;0;71;49;0;70;43;0;30;16;0;9;2;0;5;0;0;20;8;0;11;3;0;6;1;0;12;6;0;336;141;0
17;Taubaté;XXVII;SÃO JOSÉ DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;350850 Caçapava;27;1;1;37;2;0;150;41;1;279;81;5;229;90;1;117;38;1;52;2;0;86;4;0;88;0;0;109;1;1;56;0;0;73;4;0;1303;264;10
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350860 Cachoeira Paulista;24;1;0;15;1;0;41;2;0;65;8;0;75;3;0;18;0;0;23;0;0;14;1;0;19;2;0;28;3;0;7;1;0;5;1;1;334;23;1
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;350870 Caconde;0;0;0;2;0;0;6;0;0;18;5;0;25;6;0;9;3;0;2;0;0;0;0;0;1;0;0;7;1;0;3;0;0;2;1;0;75;16;0
6;Bauru;XV;BAURU;35065;LINS;350880 Cafelândia;7;2;0;9;4;0;45;27;0;83;62;0;99;59;0;14;10;0;7;7;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0;270;171;0
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350890 Caiabu;31;11;8;64;45;3;33;21;0;6;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;139;78;11
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350900 Caieiras;16;0;0;20;3;0;34;7;0;37;9;0;47;10;0;11;2;0;7;2;0;6;1;0;11;0;0;11;1;0;12;0;0;17;6;0;229;41;0
