;Distribuição dos casos notificados e confirmados (autóctones e importados ) de dengue segundo município de residência, por mês de início de sintomas, ESP, 2024;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;Janeiro ;;;Total;;
;;;;;;;Notificados ;Confirmados;;Notificados ;Confirmados;
;;;;;;;; autóctones ; importados ;; autóctones ; importados 
;;;;;;;;;;;;
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;81;21;2;81;21;2
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;72;13;2;72;13;2
15;São José do Rio Preto;XXX;JALES;35153;JALES;350395 Aspásia;11;1;0;11;1;0
9;Marília;XIII;ASSIS;35092;ASSIS;350400 Assis;267;215;0;267;215;0
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;229;116;2;229;116;2
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;3;1;0;3;1;0
6;Bauru;XV;BAURU;35062;BAURU;350430 Avaí;1;0;0;1;0;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;3;3;0;3;3;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;96;47;0;96;47;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;70;5;0;70;5;0
6;Bauru;XV;BAURU;35062;BAURU;350470 Balbinos;0;0;0;0;0;0
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;37;3;0;37;3;0
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;16;9;0;16;9;0
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;0;0;0;0;0;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;5;0;0;5;0;0
6;Bauru;XV;BAURU;35064;JAU;350520 Bariri;318;252;1;318;252;1
6;Bauru;XV;BAURU;35064;JAU;350530 Barra Bonita;53;13;5;53;13;5
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;1;0;0;1;0;0
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;1;0;0;1;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;404;43;0;404;43;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;68;13;0;68;13;0
1;São Paulo;X;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;141;15;8;141;15;8
9;Marília;XIX;MARÍLIA;35095;TUPÃ;350580 Bastos;8;2;0;8;2;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;207;78;0;207;78;0
6;Bauru;XV;BAURU;35062;BAURU;350600 Bauru;934;207;1;934;207;1
5;Barretos;XIV;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;1.359;409;2;1359;409;2
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;2;0;0;2;0;0
9;Marília;XIII;ASSIS;35094;OURINHOS;350630 Bernardino de Campos;24;15;0;24;15;0
4;Baixada Santista;XXV;SANTOS;35041;BAIXADA SANTISTA;350635 Bertioga;1.071;511;0;1071;511;0
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350640 Bilac;4;0;0;4;0;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350650 Birigui;250;70;4;250;70;4
1;São Paulo;VIII;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350660 Biritiba-Mirim;43;9;2;43;9;2
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350670 Boa Esperança do Sul;37;1;0;37;1;0
6;Bauru;XV;BAURU;35064;JAU;350680 Bocaina;13;4;2;13;4;2
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350690 Bofete;29;3;0;29;3;0
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350700 Boituva;146;70;4;146;70;4
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350710 Bom Jesus dos Perdões;47;12;0;47;12;0
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350715 Bom Sucesso de Itararé;0;0;0;0;0;0
9;Marília;XIII;ASSIS;35092;ASSIS;350720 Borá;3;0;0;3;0;0
6;Bauru;XV;BAURU;35064;JAU;350730 Boracéia;80;75;0;80;75;0
3;Araraquara;XII;ARARAQUARA;35032;CENTRO OESTE DO DRS III;350740 Borborema;56;37;0;56;37;0
6;Bauru;XV;BAURU;35062;BAURU;350745 Borebi;2;0;0;2;0;0
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350750 Botucatu;1.553;769;32;1553;769;32
7;Campinas;XVII;CAMPINAS;35071;BRAGANÇA;350760 Bragança Paulista;1.029;434;13;1029;434;13
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350770 Braúna;3;3;0;3;3;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350775 Brejo Alegre;4;0;0;4;0;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350780 Brodósqui;745;715;5;745;715;5
6;Bauru;XV;BAURU;35064;JAU;350790 Brotas;38;5;0;38;5;0
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350800 Buri;18;7;0;18;7;0
2;Araçatuba;XI;ARAÇATUBA;35023;CONSÓRCIOS DO DRS II;350810 Buritama;3;0;0;3;0;0
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350820 Buritizal;6;0;0;6;0;0
6;Bauru;XV;BAURU;35062;BAURU;350830 Cabrália Paulista;5;0;0;5;0;0
7;Campinas;XVII;CAMPINAS;35073;JUNDIAÍ;350840 Cabreúva;27;2;0;27;2;0
17;Taubaté;XXVII;SÃO JOSÉ DOS CAMPOS;35171;ALTO VALE DO PARAÍBA;350850 Caçapava;282;14;6;282;14;6
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350860 Cachoeira Paulista;61;7;0;61;7;0
14;São João da Boa Vista;XXVI;SÃO JOÃO DA BOA VISTA;35143;RIO PARDO;350870 Caconde;11;1;1;11;1;1
6;Bauru;XV;BAURU;35065;LINS;350880 Cafelândia;9;3;0;9;3;0
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350890 Caiabu;1;0;0;1;0;0
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350900 Caieiras;195;53;0;195;53;0
11;Presidente Prudente;XXII;PRESIDENTE VENCESLAU;35114;EXTREMO OESTE PAULISTA;350910 Caiuá;1;0;0;1;0;0
1;São Paulo;IX;FRANCO DA ROCHA;35012;FRANCO DA ROCHA;350920 Cajamar;188;16;25;188;16;25
12;Registro;XXIII;REGISTRO;35121;VALE DO RIBEIRA;350925 Cajati;7;0;0;7;0;0
5;Barretos;XIV;BARRETOS;35051;NORTE-BARRETOS;350930 Cajobi;13;3;0;13;3;0
13;Riberão Preto;XXIV;RIBEIRÃO PRETO;35133;VALE DAS CACHOEIRAS;350940 Cajuru;8;0;0;8;0;0
